[ERROR] 2018-09-07 02:46:23.861 [main] SavingsAccount - WITHDRAWAL - FAILED - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $200.0
[INFO ] 2018-09-07 03:05:26.030 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $200.0
[INFO ] 2018-09-07 03:07:47.735 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $500.0
[INFO ] 2018-09-07 03:10:56.656 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $300.0
[INFO ] 2018-09-07 03:13:02.705 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $200.0
[INFO ] 2018-09-07 10:17:17.981 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $100.0
[INFO ] 2018-09-07 10:30:15.459 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $100.0
[INFO ] 2018-09-07 10:39:43.857 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $200.0
[INFO ] 2018-09-07 10:40:10.580 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $100.0
[INFO ] 2018-09-07 10:47:38.029 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $100.0
[INFO ] 2018-09-07 10:54:07.502 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $400.0
[INFO ] 2018-09-07 10:56:38.471 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $100.0
[INFO ] 2018-09-07 11:01:07.020 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $100.0
[INFO ] 2018-09-07 11:01:49.750 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $100.0
[INFO ] 2018-09-07 11:03:19.728 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $100.0
[INFO ] 2018-09-07 11:05:18.467 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $100.0
[INFO ] 2018-09-07 11:06:10.682 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $6000.0
[INFO ] 2018-09-07 11:18:55.302 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $400.0
